enable stream Ok ..
start cfg Ok ..
Get intrinics ..
Camera D435 init done ..
Initializing locator...
Locator init done...
 afterFilter 1609.54
 afterFilter 2420.79
 afterFilter 2725.86
 afterFilter 2825.63
 afterFilter 2837.57
 afterFilter 2829.27
 afterFilter 2795.48
 afterFilter 2771.27
 afterFilter 2744.56
 afterFilter 2729.66
 afterFilter 2714.9
 afterFilter 2708.58
 afterFilter 2695.96
 afterFilter 2679.17
 afterFilter 2659.46
 afterFilter 2646.01
 afterFilter 2635.64
 afterFilter 2619.96
 afterFilter 2612.97
 afterFilter 2613.29
 afterFilter 2598.73
 afterFilter 2593.42
 afterFilter 2589.76
 afterFilter 2582.37
 afterFilter 2569.18
 afterFilter 2564.18
 afterFilter 2551.71
 afterFilter 2544.25
 afterFilter 2539.71
 afterFilter 2532.44
 afterFilter 2521.18
 afterFilter 2514.58
 afterFilter 2505.49
 afterFilter 2500.74
 afterFilter 2493.44
 afterFilter 2489.06
 afterFilter 2486.12
 afterFilter 2479.32
 afterFilter 2475.36
 afterFilter 2471.59
 afterFilter 2465.44
 afterFilter 2455.92
 afterFilter 2452.05
 afterFilter 2443.42
 afterFilter 2444.3
 afterFilter 2438.77
 afterFilter 2437.41
 afterFilter 2434.99
 afterFilter 2431.43
 afterFilter 2429.55
 afterFilter 2427.87
 afterFilter 2425
 afterFilter 2423.74
 afterFilter 2423.87
 afterFilter 2426.72
 afterFilter 2423.04
 afterFilter 2422.22
 afterFilter 2421.54
 afterFilter 2421
 afterFilter 2421.74
 afterFilter 2417.43
 afterFilter 2415.99
 afterFilter 2413.55
 afterFilter 2412.54
 afterFilter 2413.02
 afterFilter 2412.2
 afterFilter 2410.33
 afterFilter 2409.9
 afterFilter 2413.35
 afterFilter 2414.09
 afterFilter 2418.75
 afterFilter 2417.91
 afterFilter 2413.46
 afterFilter 2415.51
 afterFilter 2417.48
 afterFilter 2416.79
 afterFilter 2418.68
 afterFilter 2419.28
 afterFilter 2422.41
 afterFilter 2422.76
 afterFilter 2424.3
 afterFilter 2427.02
 afterFilter 2425.7
 afterFilter 2429.6
 afterFilter 2428.03
 afterFilter 2422.83
 afterFilter 2424.2
 afterFilter 2421.77
 afterFilter 2420.68
 afterFilter 2422.21
 afterFilter 2421.16
 afterFilter 2422.68
 afterFilter 2422.91
 afterFilter 2428.27
 afterFilter 2428.08
 afterFilter 2426.58
 afterFilter 2423.95
 afterFilter 2424.04
 afterFilter 2422.84
 afterFilter 2425.51
 afterFilter 2424.12
 afterFilter 2428
 afterFilter 2428.98
 afterFilter 2427.34
 afterFilter 2427.11
 afterFilter 2426.88
 afterFilter 2430.54
 afterFilter 2427.59
 afterFilter 2428.47
 afterFilter 2425.55
 afterFilter 2421.49
 afterFilter 2426.82
 afterFilter 2427.73
 afterFilter 2422.38
 afterFilter 2426.29
 afterFilter 2424.74
 afterFilter 2427.13
 afterFilter 2430.78
 afterFilter 2430.26
 afterFilter 2425.91
 afterFilter 2425.67
 afterFilter 2426.7
 afterFilter 2425.06
 afterFilter 2424.85
 afterFilter 2423.37
 afterFilter 2424.53
 afterFilter 2424.43
 afterFilter 2425.56
 afterFilter 2424.11
 afterFilter 2422.71
 afterFilter 2423.95
 afterFilter 2421.36
 afterFilter 2422.75
 afterFilter 2422.8
 afterFilter 2421.49
 afterFilter 2422.9
 afterFilter 2419.14
 afterFilter 2419.52
 afterFilter 2417.35
 afterFilter 2416.61
 afterFilter 2414.69
 afterFilter 2415.43
 afterFilter 2414.87
 afterFilter 2415.7
 afterFilter 2413.98
 afterFilter 2412.4
 afterFilter 2413.47
 afterFilter 2413.2
 afterFilter 2405.7
 afterFilter 2402.35
 afterFilter 2401.82
 afterFilter 2405.05
 afterFilter 2412.12
 afterFilter 2413.54
 afterFilter 2411.03
 afterFilter 2411.25
 afterFilter 2415.33
 afterFilter 2415.23
 afterFilter 2416.49
 afterFilter 2416.32
 afterFilter 2417.48
 afterFilter 2419.72
 afterFilter 2420.62
 afterFilter 2420.13
 afterFilter 2420.94
 afterFilter 2419.15
 afterFilter 2417.49
 afterFilter 2418.42
 afterFilter 2415.45
 afterFilter 2414.09
 afterFilter 2416.47
 afterFilter 2418.7
 afterFilter 2415.73
 afterFilter 2416.81
 afterFilter 2416.49
 afterFilter 2417.53
 afterFilter 2417.12
 afterFilter 2418.1
 afterFilter 2417.66
 afterFilter 2416.05
 afterFilter 2415.76
 afterFilter 2416.85
 afterFilter 2419.03
 afterFilter 2421.04
 afterFilter 2420.42
 afterFilter 2418.57
 afterFilter 2420.59
 afterFilter 2419.91
 afterFilter 2418.15
 afterFilter 2416.49
 afterFilter 2416.11
 afterFilter 2415.74
 afterFilter 2416.75
 afterFilter 2412.71
 afterFilter 2420.45
 afterFilter 2418.62
 afterFilter 2420.61
 afterFilter 2419.95
 afterFilter 2419.33
 afterFilter 2421.25
 afterFilter 2423.08
 afterFilter 2422.19
 afterFilter 2422.68
 afterFilter 2424.35
 afterFilter 2423.32
 afterFilter 2418.65
 afterFilter 2420.51
 afterFilter 2419.71
 afterFilter 2416.44
 afterFilter 2418.58
 afterFilter 2419.3
 afterFilter 2418.66
 afterFilter 2420.53
 afterFilter 2419.74
 afterFilter 2420.36
 afterFilter 2422.13
 afterFilter 2417.54
 afterFilter 2417.02
 afterFilter 2416.51
 afterFilter 2417.41
 afterFilter 2415.69
 afterFilter 2417.82
 afterFilter 2422.5
 afterFilter 2421.65
 afterFilter 2420.8
 afterFilter 2421.35
 afterFilter 2421.88
 afterFilter 2423.5
 afterFilter 2426.39
 afterFilter 2426.51
 afterFilter 2426.59
 afterFilter 2427.85
 afterFilter 2426.48
 afterFilter 2423.95
 afterFilter 2424.08
 afterFilter 2424.24
 afterFilter 2424.37
 afterFilter 2421.94
 afterFilter 2422.26
 afterFilter 2421.17
 afterFilter 2421.46
 afterFilter 2422.98
 afterFilter 2423.18
 afterFilter 2424.57
 afterFilter 2424.65
 afterFilter 2423.38
 afterFilter 2423.53
 afterFilter 2418.66
 afterFilter 2419.15
 afterFilter 2418.29
 afterFilter 2418.86
 afterFilter 2415.58
 afterFilter 2416.36
 afterFilter 2417.07
 afterFilter 2417.74
 afterFilter 2419.65
 afterFilter 2422.73
 afterFilter 2419.2
 afterFilter 2418.45
 afterFilter 2416.54
 afterFilter 2414.82
 afterFilter 2415.79
 afterFilter 2419.18
 afterFilter 2418.49
 afterFilter 2417.86
 afterFilter 2417.3
